[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:194:3: Block comment has incorrect indentation level 2, expected is 4, indentation should be the same level as line 198. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:270:3: Block comment has incorrect indentation level 2, expected is 4, indentation should be the same level as line 274. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:327:3: Block comment has incorrect indentation level 2, expected is 3, indentation should be the same level as line 331. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:354:3: Block comment has incorrect indentation level 2, expected is 3, indentation should be the same level as line 358. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:381:3: Block comment has incorrect indentation level 2, expected is 3, indentation should be the same level as line 384. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:393:3: Block comment has incorrect indentation level 2, expected is 3, indentation should be the same level as line 397. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:419:3: Block comment has incorrect indentation level 2, expected is 3, indentation should be the same level as line 422. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:479:3: Block comment has incorrect indentation level 2, expected is 3, indentation should be the same level as line 480. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:537:3: Block comment has incorrect indentation level 2, expected is 3, indentation should be the same level as line 538. [CommentsIndentation]
[ant:checkstyle] [WARN] /app/src/main/java/com/mgz/afp/ptoca/controlSequence/PTOCAControlSequence.java:560:3: Block comment has incorrect indentation level 2, expected is 3, indentation should be the same level as line 561. [CommentsIndentation]
